organism_name	species_id	data_type	qv_score	error_rate	assembly_accession	size_mb	date	modify_date	taxid	bioproject_accession	bioproject_id	group	subgroup	gc%	replicons	wgs	scaffolds	genes	proteins	release_date	status	center	biosample_accession
Anabas testudineus	fAnaTes1	10x	37.1175	0.0001942	GCA_900650485.1	539.091	02/23/18	1/10/19	64144	PRJEB30391	512808	Animals	Fishes	40.2	-	CAABOV01	2641	-	-	1/10/19	Scaffold	Wellcome Sanger Institute	SAMEA104026376
Anableps anableps	fAnaAna1	10x	40.9204	8.09E-05	GCA_014839685.1	867.633	11/10/18	10/2/20	195821	PRJNA561985	561985	Animals	Fishes	38.5409	chromosome 1:CM026065.1; chromosome 2:CM026066.1; chromosome 3:CM026067.1; chromosome 4:CM026068.1; chromosome 5:CM026069.1; chromosome 6:CM026070.1; chromosome 7:CM026071.1; chromosome 8:CM026072.1; chromosome 9:CM026073.1; chromosome 10:CM026074.1; chromosome 11:CM026075.1; chromosome 12:CM026076.1; chromosome 13:CM026077.1; chromosome 14:CM026078.1; chromosome 15:CM026079.1; chromosome 16:CM026080.1; chromosome 17:CM026081.1; chromosome 18:CM026082.1; chromosome 19:CM026083.1; chromosome 20:CM026084.1; chromosome 21:CM026085.1; chromosome 22:CM026086.1; chromosome 23:CM026087.1; chromosome 24:CM026088.1; mitochondrion MT:CM026089.1	JABWDS01	33	-	-	9/30/20	Chromosome	Vertebrate Genomes Project	SAMN12623628
Anguilla anguilla	fAngAng1	10x	45.0786	3.11E-05	GCA_013347855.1	979.046	09/17/19	6/18/20	7936	PRJNA643263	643263	Animals	Fishes	43.6575	chromosome 1:NC_049201.1/CM023565.1; chromosome 2:NC_049202.1/CM023566.1; chromosome 3:NC_049203.1/CM023567.1; chromosome 4:NC_049204.1/CM023568.1; chromosome 5:NC_049205.1/CM023569.1; chromosome 6:NC_049206.1/CM023570.1; chromosome 7:NC_049207.1/CM023571.1; chromosome 8:NC_049208.1/CM023572.1; chromosome 9:NC_049209.1/CM023573.1; chromosome 10:NC_049210.1/CM023574.1; chromosome 11:NC_049211.1/CM023575.1; chromosome 12:NC_049212.1/CM023576.1; chromosome 13:NC_049213.1/CM023577.1; chromosome 14:NC_049214.1/CM023578.1; chromosome 15:NC_049215.1/CM023579.1; chromosome 16:NC_049216.1/CM023580.1; chromosome 17:NC_049217.1/CM023581.1; chromosome 18:NC_049218.1/CM023582.1; chromosome 19:NC_049219.1/CM023583.1; mitochondrion MT:NC_006531.1/	JABVMG01	54	31475	58091	6/12/20	Chromosome	NCBI	SAMN12623627
Antennarius maculatus	fAntMac1	10x	42.9411	5.08E-05	GCA_013358685.1	549.95	11/09/18	6/18/20	882753	PRJNA561983	561983	Animals	Fishes	41.8733	chromosome 1:CM023606.1; chromosome 2:CM023607.1; chromosome 3:CM023608.1; chromosome 4:CM023609.1; chromosome 5:CM023610.1; chromosome 6:CM023611.1; chromosome 7:CM023612.1; chromosome 8:CM023613.1; chromosome 9:CM023614.1; chromosome 10:CM023615.1; chromosome 11:CM023616.1; chromosome 12:CM023617.1; chromosome 13:CM023618.1; chromosome 14:CM023619.1; chromosome 15:CM023620.1; chromosome 16:CM023621.1; chromosome 17:CM023622.1; chromosome 18:CM023623.1; chromosome 19:CM023624.1; chromosome 20:CM023625.1; chromosome 21:CM023626.1; chromosome 22:CM023627.1; chromosome 23:CM023628.1; chromosome 24:CM023629.1; mitochondrion MT:CM023630.1	JABVMC01	155	-	-	6/12/20	Chromosome	Vertebrate Genomes Project	SAMN12623626
Aplochiton taeniatus	fAplTae1	10x	42.1027	6.16E-05	GCA_017639675.1	461.946	09/16/19	3/30/21	946358	PRJNA561971	561971	Animals	Fishes	45.1095	chromosome 1:CM030172.1; chromosome 2:CM030173.1; chromosome 3:CM030174.1; chromosome 4:CM030175.1; chromosome 5:CM030176.1; chromosome 6:CM030177.1; chromosome 7:CM030178.1; chromosome 8:CM030179.1; chromosome 9:CM030180.1; chromosome 10:CM030181.1; chromosome 11:CM030182.1; chromosome 12:CM030183.1; chromosome 13:CM030184.1; chromosome 14:CM030185.1; chromosome 15:CM030186.1; chromosome 16:CM030187.1; chromosome 17:CM030188.1; chromosome 18:CM030189.1; chromosome 19:CM030190.1; chromosome 20:CM030191.1	JAGFOV01	41	-	-	3/30/21	Chromosome	Vertebrate Genomes Project	SAMN12623621
Apodemus sylvaticus	mApoSyl1	10x	43.1171	4.88E-05	GCA_947179515.1	2889.79	12/18/21	10/27/22	10129	PRJEB56948	893982	Animals	Mammals	41.2266	chromosome 1:OX359297.1; chromosome 2:OX359298.1; chromosome 3:OX359299.1; chromosome 4:OX359300.1; chromosome 5:OX359301.1; chromosome 6:OX359303.1; chromosome 7:OX359304.1; chromosome 8:OX359305.1; chromosome 9:OX359306.1; chromosome 10:OX359307.1; chromosome 11:OX359308.1; chromosome 12:OX359309.1; chromosome 13:OX359310.1; chromosome 14:OX359311.1; chromosome 15:OX359312.1; chromosome 16:OX359313.1; chromosome 17:OX359314.1; chromosome 18:OX359315.1; chromosome 19:OX359316.1; chromosome 20:OX359317.1; chromosome 21:OX359318.1; chromosome 22:OX359319.1; chromosome 23:OX359320.1; chromosome X:OX359302.1; chromosome Y:OX359321.1; mitochondrion MT:OX359322.1	CAMXCG01	497	-	-	10/26/22	Chromosome	WELLCOME SANGER INSTITUTE	SAMEA7702024
Apus apus	bApuApu2	10x	50.4419	9.03E-06	GCA_020740795.1	1100.38	06/17/21	11/4/21	8895	PRJNA895084	895084	Animals	Birds	41.973	chromosome 1:CM036503.1; chromosome 2:CM036504.1; chromosome 3:CM036505.1; chromosome 4:CM036506.1; chromosome 5:CM036507.1; chromosome 6:CM036508.1; chromosome 7:CM036509.1; chromosome 8:CM036510.1; chromosome 9:CM036511.1; chromosome 10:CM036512.1; chromosome 11:CM036513.1; chromosome 12:CM036514.1; chromosome 13:CM036515.1; chromosome 14:CM036516.1; chromosome 15:CM036517.1; chromosome 16:CM036518.1; chromosome 17:CM036519.1; chromosome 18:CM036520.1; chromosome 19:CM036521.1; chromosome 20:CM036522.1; chromosome 21:CM036523.1; chromosome 22:CM036524.1; chromosome 23:CM036525.1; chromosome 24:CM036526.1; chromosome 25:CM036527.1; chromosome 26:CM036528.1; chromosome 27:CM036529.1; chromosome 28:CM036530.1; chromosome 29:CM036531.1; chromosome W:CM036532.1; chromosome Z:CM036533.1; mitochondrion:NC_008540.1/	JAJGQY01	110	14	13	11/3/21	Chromosome	NCBI	SAMN22785356
Aquila chrysaetos chrysaetos	bAquChr1	10x	43.3697	4.60E-05	GCA_900496995.4	1233.7	03/02/18	3/25/21	223781	PRJEB27699	487871	Animals	Birds	42.2031	chromosome 1:NC_044004.1/LR606181.1; chromosome 2:NC_044005.1/LR606182.1; chromosome 3:NC_044006.1/LR606183.1; chromosome 4:NC_044007.1/LR606184.1; chromosome 5:NC_044008.1/LR606185.1; chromosome 6:NC_044009.1/LR606186.1; chromosome 7:NC_044010.1/LR606187.1; chromosome 8:NC_044011.1/LR606188.1; chromosome 9:NC_044012.1/LR606189.1; chromosome 10:NC_044013.1/LR606190.1; chromosome 11:NC_044014.1/LR606191.1; chromosome 12:NC_044015.1/LR606192.1; chromosome 13:NC_044016.1/LR606193.1; chromosome 14:NC_044017.1/LR606194.1; chromosome 15:NC_044018.1/LR606195.1; chromosome 16:NC_044019.1/LR606196.1; chromosome 17:NC_044020.1/LR606197.1; chromosome 18:NC_044021.1/LR606198.1; chromosome 19:NC_044022.1/LR606199.1; chromosome 20:NC_044023.1/LR606200.1; chromosome 21:NC_044024.1/LR606201.1; chromosome 22:NC_044025.1/LR606202.1; chromosome 23:NC_044026.1/LR606203.1; chromosome 24:NC_044027.1/LR606204.1; chromosome 25:NC_044028.1/LR606205.1; chromosome 26:NC_044029.1/LR606206.1; chromosome W:NC_054457.1/HG999777.1; chromosome Z:NC_044030.1/LR606180.1	UFQG04	144	21369	52413	8/29/18	Chromosome	Wellcome Sanger Institute	SAMEA994725
Archocentrus centrarchus	fArcCen1	10x	34.7434	0.00033548	GCA_007364275.2	932.93	03/04/18	9/6/19	63155	PRJNA559550	559550	Animals	Fishes	41.393	chromosome 1:NC_044346.1/CM017272.1; chromosome 2:NC_044347.1/CM017273.1; chromosome 3:NC_044348.1/CM017274.1; chromosome 4:NC_044349.1/CM017275.1; chromosome 5:NC_044350.1/CM017276.1; chromosome 6:NC_044351.1/CM017277.1; chromosome 7:NC_044352.1/CM017278.1; chromosome 8:NC_044353.1/CM017279.1; chromosome 9:NC_044354.1/CM017280.1; chromosome 10:NC_044355.1/CM017281.1; chromosome 11:NC_044356.1/CM017282.1; chromosome 12:NC_044357.1/CM017283.1; chromosome 13:NC_044358.1/CM017284.1; chromosome 14:NC_044359.1/CM017285.1; chromosome 15:NC_044360.1/CM017286.1; chromosome 16:NC_044361.1/CM017287.1; chromosome 17:NC_044362.1/CM017288.1; chromosome 18:NC_044363.1/CM017446.1; chromosome 19:NC_044364.1/CM017289.1; chromosome 20:NC_044365.1/CM017290.1; chromosome 21:NC_044366.1/CM017291.1; chromosome 22:NC_044367.1/CM017292.1; chromosome 23:NC_044368.1/CM017293.1; chromosome 24:NC_044369.1/CM017294.1; mitochondrion MT:CM017295.1	STFV01	188	29275	41106	7/24/19	Chromosome	NCBI	SAMN09948522
Arvicola amphibius	mArvAmp1	10x	36.0968	0.00024565	GCA_903992535.2	2297.77	04/06/19	5/11/21	1047088	PRJEB39550	649192	Animals	Mammals	42.1802	chromosome 1:NC_052047.1/LR862380.1; chromosome 2:NC_052048.2/LR862381.2; chromosome 3:NC_052049.1/LR862382.1; chromosome 4:NC_052050.1/LR862383.1; chromosome 5:NC_052051.1/LR862384.1; chromosome 6:NC_052052.2/LR862385.2; chromosome 7:NC_052053.1/LR862386.1; chromosome 8:NC_052054.1/LR862388.1; chromosome 9:NC_052055.2/LR862389.2; chromosome 10:NC_052056.1/LR862390.1; chromosome 11:NC_052057.2/LR862391.2; chromosome 12:NC_052058.2/LR862392.2; chromosome 13:NC_052059.1/LR862393.1; chromosome 14:NC_052060.1/LR862394.1; chromosome 15:NC_052061.1/LR862395.1; chromosome 17:NC_052063.2/LR862397.2; chromosome 18:NC_052064.1/LR862398.1; chromosome X:NC_052065.1/LR862387.1	CAJEUG02	215	28375	40695	8/3/20	Chromosome	Wellcome Sanger Institute	SAMEA994740
